"Text Editing","Duplicate Lines","Shift+Ctrl+Up","Editing Text"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"File","New menu","Shift+Alt+N","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Run/Debug","Step Over","F6","Debugging"
"Window","Quick Access","Ctrl+3","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"File","Close","Ctrl+W","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"File","Rename","F2","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"File","Refresh","F5","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Delete Line","Ctrl+E","Editing Text"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Window","Quick Switch Editor","Ctrl+D","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
